"id@sourceA","name@sourceA","year@sourceA","id@sourceB","name@sourceB","Confidence"
"tt0072431","Young Frankenstein","1974","fm2451","Young Frankenstein","100"
"tt0118842","Chasing Amy","1997","fm380","chasing amy","100"
"tt0059113","Doctor Zhivago","1965","fm534","Doctor Zhivago","100"
"tt0376541","Closer","2004","fm417","closer","100"
"tt0376541","Closer","2004","fm418","Closer","100"
"tt0065214","The Wild Bunch","1969","fm2248","The Wild Bunch","100"
"tt0118884","Contact","1997","fm439","contact","100"
"tt0469494","There Will Be Blood","2007","fm2264","There Will Be Blood","100"
"tt0069995","Don't Look Now","1973","fm539","Don't Look Now","100"
"tt0082348","Excalibur","1981","fm724","excalibur","100"
"tt0099785","Home Alone","1990","fm928","Home Alone","100"
"tt1057500","Invictus","2009","fm1011","Invictus","100"
"tt0091369","Labyrinth","1986","fm1160","Labyrinth","100"
"tt1197624","Law Abiding Citizen","2009","fm1175","Law Abiding Citizen","100"
"tt0375912","Layer Cake","2004","fm1179","Layer Cake","100"
"tt0465538","Michael Clayton","2007","fm1345","michael clayton","100"
"tt1229238","Mission: Impossible - Ghost Protocol","2011","fm1370","Mission: Impossible - Ghost Protocol","100"
"tt0780571","Mr. Brooks","2007","fm1394","Mr. Brooks","100"
"tt0107616","Much Ado About Nothing","1993","fm1400","Much Ado About Nothing","100"
"tt1078588","My Sister's Keeper","2009","fm1417","My Sister's Keeper","100"
"tt0084516","Poltergeist","1982","fm1606","Poltergeist","100"
"tt0959337","Revolutionary Road","2008","fm1692","Revolutionary road","100"
"tt0329575","Seabiscuit","2003","fm1754","Seabiscuit","100"
"tt0078346","Superman","1978","fm1898","Superman","100"
"tt0825232","The Bucket List","2007","fm1979","The bucket list","100"
"tt1033575","The Descendants","2011","fm2002","The Descendants","100"
"tt0110074","The Hudsucker Proxy","1994","fm2070","The Hudsucker Proxy","100"
"tt1458175","The Next Three Days","2010","fm2130","The Next Three Days","100"
"tt0117500","The Rock","1996","fm2172","The Rock","100"
"tt0134119","The Talented Mr. Ripley","1999","fm2207","The Talented Mr. Ripley","100"
"tt0094291","Wall Street","1987","fm2395","Wall Street","100"
"tt0120903","X-Men","2000","fm2437","X-MEN","100"
"tt0065126","True Grit","1969","fm2313","True Grit","100"
