"name@sourceA","name@sourceB","year@sourceA","year@sourceB","id@sourceA","id@sourceB","Confidence"
"Indiana Jones and the Last Crusade","Indiana Jones and the Last Crusade","1989","1989","tt0097576","970",
"Changeling","Changeling","2008","2008","tt0824747","307",
"No Country for Old Men","No Country For Old Men","2007","2007","tt0477348","715",
"Boyz n the Hood","Boyz n the hood","1991","1991","tt0101507","256",
"In Bruges","In Bruges","2008","2008","tt0780536","564",
"Wall Street","Wall Street","1987","1987","tt0094291","1081",
"The Aviator","The Aviator","2004","2004","tt0338751","1026",
"Lost Highway","Lost Highway","1997","1997","tt0116922","665",
"Airplane!","airplane!","1980","1980","tt0080339","54",
"Total Recall","Total Recall","1990","1990","tt0100802","1027",
"Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean: Curse of the Black Pearl","2003","2003","tt0325980","767",
"Badlands","Badlands","1973","1973","tt0069762","157",
"Chaplin","Chaplin","1992","1992","tt0103939","309",
"Lost in Translation","Lost In Translation","2003","2003","tt0335266","666",
"Sleuth","Sleuth","1972","1972","tt0069281","922",
"North by Northwest","North By Northwest","1959","1959","tt0053125","717",
"Braveheart","Braveheart","1995","1995","tt0112573","258",
"Do the Right Thing","Do The Right Thing","1989","1989","tt0097216","410",
"Inception","Inception","2010","2010","tt1375666","566",
